;car_id;model_id;location_id;car_number;icon_url
195;582;10;227.0;545;/car-icons/nissan-leaf_2-gray.png
196;628;54;;589;/car-icons/toyota-corolla-blue.png
197;121;13;5.0;457;/car-icons/peugeot-expert-white.png
198;632;54;;593;/car-icons/toyota-corolla-red.png
199;600;10;48.0;561;/car-icons/nissan-leaf_2-gray.png
200;586;5;;549;/car-icons/toyota-yaris-gray.png
201;106;4;26.0;442;/car-icons/toyota-auris-gray.png
202;579;4;225.0;536;/car-icons/toyota-auris-dark_gray.png
203;171;4;13.0;507;/car-icons/toyota-auris-gray.png
204;596;50;;557;/car-icons/peugeot-partner_long-white.png
205;181;14;4.0;518;/car-icons/peugeot-expert_long-white.png
206;190;7;3.0;527;/car-icons/toyota-rav4-silver.png
207;568;10;223.0;540;/car-icons/nissan-leaf_2-gray.png
208;635;54;;596;/car-icons/toyota-corolla-white.png
209;102;4;49.0;438;/car-icons/toyota-auris-gray.png
210;58;3;13.0;393;/car-icons/skoda-rapid-beige.png
211;583;10;227.0;546;/car-icons/nissan-leaf_2-gray.png
212;191;12;25.0;528;/car-icons/peugeot-partner-silver.png
213;578;4;40.0;534;/car-icons/toyota-auris-champagne.png
214;179;5;65.0;515;/car-icons/toyota-yaris-gray.png
215;3;3;3.0;383;/car-icons/skoda-rapid-red.png
216;589;5;;552;/car-icons/toyota-yaris-gray.png
217;610;52;;571;/car-icons/skoda-citigo-gray.png
218;78;5;4.0;414;/car-icons/toyota-yaris-red.png
219;601;50;;562;/car-icons/peugeot-partner_long-white.png
220;92;5;60.0;428;/car-icons/toyota-yaris-silver.png
221;15;18;70.0;346;/car-icons/skoda-citigo-red.png
222;47;3;50.0;382;/car-icons/skoda-rapid-red.png
223;49;3;3.0;384;/car-icons/skoda-rapid-red.png
224;630;55;;591;/car-icons/jaguar-ipace-red.png
225;603;51;;564;/car-icons/peugeot-traveller-white.png
226;42;9;56.0;377;/car-icons/nissan-leaf-white.png
227;131;14;41.0;467;/car-icons/peugeot-expert_long-white.png
228;609;52;;570;/car-icons/skoda-citigo-gray.png
229;129;14;39.0;465;/car-icons/peugeot-expert_long-white.png
230;611;53;;572;/car-icons/toyota-proace-gray.png
231;633;54;;594;/car-icons/toyota-corolla-white.png
232;70;19;4.0;406;/car-icons/volkswagen-caravelle-silver.png
233;99;4;39.0;435;/car-icons/toyota-auris-black.png
234;619;54;;580;/car-icons/toyota-corolla-red.png
235;606;52;62.0;567;/car-icons/skoda-citigo-gray.png
236;602;51;;563;/car-icons/peugeot-traveller-white.png
237;621;54;;582;/car-icons/toyota-corolla-bronze.png
238;65;13;64.0;401;/car-icons/peugeot-expert-white.png
239;607;52;;568;/car-icons/skoda-citigo-gray.png
240;613;53;;574;/car-icons/toyota-proace-gray.png
241;159;4;28.0;495;/car-icons/toyota-auris-red.png
242;604;51;;565;/car-icons/peugeot-traveller-white.png
243;595;10;48.0;556;/car-icons/nissan-leaf_2-gray.png
244;98;4;19.0;434;/car-icons/toyota-auris-red.png
245;39;9;22.0;374;/car-icons/nissan-leaf-white.png
246;71;8;31.0;407;/car-icons/toyota-priusplus-black.png
247;166;10;48.0;502;/car-icons/nissan-leaf_2-gray.png
248;164;8;39.0;500;/car-icons/toyota-priusplus-brown.png
249;51;3;6.0;386;/car-icons/skoda-rapid-beige.png
250;160;8;13.0;496;/car-icons/toyota-priusplus-gray.png
251;114;15;50.0;450;/car-icons/peugeot-208-gray.png
252;629;55;;590;/car-icons/jaguar-ipace-red.png
253;634;54;;595;/car-icons/toyota-corolla-black.png
254;620;54;;581;/car-icons/toyota-corolla-bronze.png
255;122;13;4.0;458;/car-icons/peugeot-expert-white.png
256;155;4;36.0;491;/car-icons/toyota-auris-gray.png
257;571;10;223.0;543;/car-icons/nissan-leaf_2-gray.png
258;73;5;4.0;409;/car-icons/toyota-yaris-black.png
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
